Class,Precision,Recall,F1-score,Support
Apple Scab Leaf,1.0,1.0,1.0,95
Apple leaf,1.0,1.0,1.0,248
Apple rust leaf,1.0,1.0,1.0,42
Bell_pepper leaf,1.0,0.9686,0.9841,223
Bell_pepper leaf spot,0.9679,1.0,0.9837,151
Blueberry leaf,1.0,1.0,1.0,226
Cherry leaf,0.9923,1.0,0.9961,129
Corn Gray leaf spot,0.9467,0.9103,0.9281,78
Corn leaf blight,0.9539,0.9732,0.9635,149
Corn rust leaf,1.0,1.0,1.0,180
Peach leaf,0.9821,1.0,0.991,55
Potato leaf early blight,1.0,1.0,1.0,150
Potato leaf late blight,1.0,1.0,1.0,150
Raspberry leaf,1.0,1.0,1.0,57
Soyabean leaf,1.0,1.0,1.0,764
Squash Powdery mildew leaf,1.0,1.0,1.0,276
Strawberry leaf,1.0,1.0,1.0,69
Tomato Early blight leaf,0.9613,0.9933,0.977,150
Tomato Septoria leaf spot,0.9926,1.0,0.9963,267
Tomato leaf,1.0,1.0,1.0,240
Tomato leaf bacterial spot,1.0,1.0,1.0,320
Tomato leaf late blight,1.0,0.9756,0.9877,287
Tomato leaf mosaic virus,0.9661,1.0,0.9828,57
Tomato leaf yellow virus,1.0,0.9988,0.9994,805
Tomato mold leaf,1.0,0.9931,0.9965,144
grape leaf,1.0,1.0,1.0,64
grape leaf black rot,1.0,1.0,1.0,177
