Model,Perturbation,Severity,Accuracy,Precision,Recall,F1-score
ResNet50,clean,0,0.995,0.9912,0.9931,0.9921
ResNet50,blur,1,0.9797,0.9784,0.982,0.9789
ResNet50,blur,2,0.8613,0.9156,0.8698,0.8669
ResNet50,blur,3,0.6469,0.8359,0.5877,0.5961
ResNet50,blur,4,0.438,0.5958,0.2945,0.2793
ResNet50,blur,5,0.3366,0.254,0.1708,0.1332
ResNet50,low_light,1,0.9937,0.9898,0.9915,0.9905
ResNet50,low_light,2,0.9932,0.9897,0.992,0.9907
ResNet50,low_light,3,0.9879,0.9848,0.9863,0.9852
ResNet50,low_light,4,0.9647,0.9656,0.962,0.9613
ResNet50,low_light,5,0.7835,0.8539,0.7493,0.7377
ResNet50,occlusion,1,0.9944,0.9906,0.9931,0.9918
ResNet50,occlusion,2,0.9923,0.9873,0.991,0.9891
ResNet50,occlusion,3,0.9856,0.9771,0.9829,0.9794
ResNet50,occlusion,4,0.9654,0.9534,0.9582,0.9526
ResNet50,occlusion,5,0.9544,0.9451,0.9393,0.9376
ResNet50,background_clutter,1,0.9888,0.9848,0.9884,0.9863
ResNet50,background_clutter,2,0.9854,0.9793,0.9827,0.9805
ResNet50,background_clutter,3,0.9768,0.973,0.9757,0.973
ResNet50,background_clutter,4,0.834,0.8952,0.8075,0.8118
ResNet50,background_clutter,5,0.9634,0.9601,0.963,0.959
EfficientNet-B0,clean,0,0.9962,0.9934,0.9947,0.994
EfficientNet-B0,blur,1,0.9867,0.982,0.9831,0.9823
EfficientNet-B0,blur,2,0.8127,0.9299,0.7614,0.81
EfficientNet-B0,blur,3,0.4691,0.6643,0.3041,0.3259
EfficientNet-B0,blur,4,0.362,0.2852,0.1757,0.1667
EfficientNet-B0,blur,5,0.3052,0.2815,0.1324,0.1036
EfficientNet-B0,low_light,1,0.9957,0.9924,0.994,0.9931
EfficientNet-B0,low_light,2,0.9942,0.9901,0.9922,0.9911
EfficientNet-B0,low_light,3,0.9919,0.9872,0.9893,0.9882
EfficientNet-B0,low_light,4,0.9683,0.969,0.9549,0.9603
EfficientNet-B0,low_light,5,0.6179,0.7868,0.5104,0.5656
EfficientNet-B0,occlusion,1,0.9955,0.9926,0.9947,0.9936
EfficientNet-B0,occlusion,2,0.9944,0.9903,0.9934,0.9917
EfficientNet-B0,occlusion,3,0.9896,0.9829,0.9886,0.9854
EfficientNet-B0,occlusion,4,0.9879,0.9802,0.9859,0.9827
EfficientNet-B0,occlusion,5,0.9715,0.9576,0.9681,0.9606
EfficientNet-B0,background_clutter,1,0.9944,0.9914,0.9928,0.992
EfficientNet-B0,background_clutter,2,0.9914,0.9878,0.9859,0.9865
EfficientNet-B0,background_clutter,3,0.9825,0.9771,0.9722,0.9731
EfficientNet-B0,background_clutter,4,0.9566,0.9521,0.9314,0.9292
EfficientNet-B0,background_clutter,5,0.9744,0.9683,0.9567,0.9585
MobileNetV2,clean,0,0.9948,0.9925,0.9929,0.9927
MobileNetV2,blur,1,0.9721,0.9719,0.9741,0.9712
MobileNetV2,blur,2,0.7129,0.8552,0.7107,0.6987
MobileNetV2,blur,3,0.4479,0.6803,0.3657,0.3626
MobileNetV2,blur,4,0.3441,0.4872,0.2283,0.2268
MobileNetV2,blur,5,0.2431,0.3003,0.1351,0.1089
MobileNetV2,low_light,1,0.9942,0.9911,0.9921,0.9916
MobileNetV2,low_light,2,0.9932,0.9897,0.9909,0.9902
MobileNetV2,low_light,3,0.9901,0.9862,0.9874,0.9866
MobileNetV2,low_light,4,0.9672,0.9635,0.9625,0.9607
MobileNetV2,low_light,5,0.7578,0.8484,0.7364,0.7185
MobileNetV2,occlusion,1,0.9941,0.9897,0.9915,0.9905
MobileNetV2,occlusion,2,0.9863,0.9798,0.9843,0.9817
MobileNetV2,occlusion,3,0.9472,0.9528,0.9544,0.947
MobileNetV2,occlusion,4,0.8979,0.9236,0.9057,0.8953
MobileNetV2,occlusion,5,0.8957,0.9148,0.8961,0.8898
MobileNetV2,background_clutter,1,0.9661,0.9639,0.9659,0.9617
MobileNetV2,background_clutter,2,0.9733,0.9701,0.9741,0.9707
MobileNetV2,background_clutter,3,0.8747,0.9,0.8941,0.8777
MobileNetV2,background_clutter,4,0.5674,0.7733,0.6077,0.5615
MobileNetV2,background_clutter,5,0.7382,0.8475,0.7813,0.7584
