TrueClass,PredictedClass,Confidence,NormEntropy,Action,Recommendation,Correct
Apple Scab Leaf,Apple Scab Leaf,0.9913,0.0082,Accept,Recommend treatment or monitoring by predicted class,1
Apple Scab Leaf,grape leaf black rot,0.7691,0.2026,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Apple leaf,0.196,0.6559,Review,Seek expert review,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.8996,0.0948,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,grape leaf black rot,0.4141,0.5434,Review,Seek expert review,0
Apple Scab Leaf,Tomato leaf,0.2895,0.5896,Review,Seek expert review,0
Apple Scab Leaf,grape leaf black rot,0.5872,0.2647,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato leaf late blight,0.4209,0.5295,Review,Seek expert review,0
Apple Scab Leaf,grape leaf black rot,0.292,0.5222,Review,Seek expert review,0
Apple Scab Leaf,Tomato leaf late blight,0.6321,0.294,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,grape leaf black rot,0.4864,0.4549,Retake,Request a clearer image,0
Apple Scab Leaf,grape leaf black rot,0.3619,0.5124,Review,Seek expert review,0
Apple Scab Leaf,Tomato leaf late blight,0.8639,0.1202,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato Early blight leaf,0.5092,0.3657,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato leaf late blight,0.5199,0.3364,Retake,Request a clearer image,0
Apple Scab Leaf,grape leaf black rot,0.9225,0.0751,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Corn Gray leaf spot,0.6262,0.2881,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,grape leaf black rot,0.7027,0.2535,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Squash Powdery mildew leaf,0.9571,0.0409,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf spot,0.4643,0.3701,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato leaf late blight,0.4835,0.369,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato leaf,0.6697,0.231,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Tomato leaf late blight,0.8767,0.1113,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato leaf late blight,0.2456,0.6194,Review,Seek expert review,0
