TrueClass,PredictedClass,Confidence,NormEntropy,Action,Recommendation,Correct
Apple Scab Leaf,Apple Scab Leaf,0.5228,0.4477,Retake,Request a clearer image,1
Apple Scab Leaf,grape leaf black rot,0.2464,0.7332,Review,Seek expert review,0
Apple Scab Leaf,Corn leaf blight,0.8453,0.2574,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.7141,0.3908,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.3418,0.5664,Review,Seek expert review,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.5482,0.558,Retake,Request a clearer image,0
Apple Scab Leaf,Bell_pepper leaf,0.5406,0.4184,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.6911,0.3235,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Bell_pepper leaf spot,0.9007,0.1258,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.4872,0.6091,Retake,Request a clearer image,0
Apple Scab Leaf,Bell_pepper leaf,0.3768,0.6613,Review,Seek expert review,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.3071,0.5803,Review,Seek expert review,0
Apple Scab Leaf,Tomato Early blight leaf,0.9668,0.0566,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Corn Gray leaf spot,0.2344,0.7325,Review,Seek expert review,0
Apple Scab Leaf,grape leaf black rot,0.2382,0.711,Review,Seek expert review,0
Apple Scab Leaf,Apple Scab Leaf,0.3102,0.6848,Review,Seek expert review,1
Apple Scab Leaf,Corn Gray leaf spot,0.4311,0.5184,Review,Seek expert review,0
Apple Scab Leaf,grape leaf black rot,0.317,0.6123,Review,Seek expert review,0
Apple Scab Leaf,Squash Powdery mildew leaf,0.4482,0.6171,Review,Seek expert review,0
Apple Scab Leaf,Bell_pepper leaf spot,0.9832,0.0375,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Cherry leaf,0.2688,0.6716,Review,Seek expert review,0
Apple Scab Leaf,Tomato Early blight leaf,0.4345,0.5989,Review,Seek expert review,0
Apple Scab Leaf,Tomato Septoria leaf spot,0.8915,0.1909,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf,0.57,0.363,Retake,Request a clearer image,0
Apple Scab Leaf,Potato leaf early blight,0.9643,0.0823,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf spot,0.7472,0.3228,Monitor,Monitor and retake if symptoms persist,0
