TrueClass,PredictedClass,Confidence,NormEntropy,Action,Recommendation,Correct
Apple Scab Leaf,Tomato Early blight leaf,0.379,0.5218,Review,Seek expert review,0
Apple Scab Leaf,Cherry leaf,0.9008,0.1494,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Corn leaf blight,0.9988,0.0034,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato Early blight leaf,0.6507,0.2636,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Potato leaf early blight,0.4201,0.5068,Review,Seek expert review,0
Apple Scab Leaf,Cherry leaf,0.7648,0.2628,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Cherry leaf,0.912,0.1043,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Apple rust leaf,0.8614,0.1675,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf spot,0.8693,0.165,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Cherry leaf,0.4824,0.3212,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato Early blight leaf,0.8614,0.198,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato Early blight leaf,0.6136,0.4003,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Tomato Early blight leaf,0.8446,0.1445,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Cherry leaf,0.9248,0.0989,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato Early blight leaf,0.4903,0.4584,Retake,Request a clearer image,0
Apple Scab Leaf,Potato leaf early blight,0.5067,0.349,Retake,Request a clearer image,0
Apple Scab Leaf,Corn Gray leaf spot,0.921,0.0895,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,grape leaf black rot,0.5834,0.371,Retake,Request a clearer image,0
Apple Scab Leaf,Bell_pepper leaf,0.5768,0.2739,Retake,Request a clearer image,0
Apple Scab Leaf,Bell_pepper leaf spot,0.9812,0.0316,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf,0.9911,0.0184,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf,0.9817,0.0342,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato Early blight leaf,0.5606,0.3708,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato Early blight leaf,0.2509,0.6721,Review,Seek expert review,0
Apple Scab Leaf,Potato leaf early blight,0.9914,0.019,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf spot,0.9021,0.1248,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Cherry leaf,0.9775,0.0417,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Apple Scab Leaf,0.6753,0.3243,Monitor,Monitor and retake if symptoms persist,1
Apple Scab Leaf,grape leaf black rot,0.656,0.2594,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Corn leaf blight,0.3755,0.6199,Review,Seek expert review,0
Apple Scab Leaf,Corn rust leaf,0.4962,0.3715,Retake,Request a clearer image,0
Apple Scab Leaf,Tomato Early blight leaf,0.7531,0.3084,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,grape leaf black rot,0.4099,0.6106,Review,Seek expert review,0
Apple Scab Leaf,Tomato Early blight leaf,0.9268,0.1126,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Tomato Early blight leaf,0.4043,0.534,Review,Seek expert review,0
Apple Scab Leaf,Cherry leaf,0.9055,0.0976,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Cherry leaf,0.6647,0.3737,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Apple rust leaf,0.3302,0.4608,Review,Seek expert review,0
Apple Scab Leaf,Cherry leaf,0.4379,0.4672,Review,Seek expert review,0
Apple Scab Leaf,Corn rust leaf,0.4393,0.4043,Review,Seek expert review,0
Apple Scab Leaf,Corn rust leaf,0.8708,0.167,Accept,Recommend treatment or monitoring by predicted class,0
Apple Scab Leaf,Bell_pepper leaf,0.3506,0.4655,Review,Seek expert review,0
Apple Scab Leaf,Cherry leaf,0.4892,0.2833,Retake,Request a clearer image,0
Apple Scab Leaf,Cherry leaf,0.2998,0.5767,Review,Seek expert review,0
Apple Scab Leaf,Tomato Early blight leaf,0.7314,0.2953,Monitor,Monitor and retake if symptoms persist,0
Apple Scab Leaf,Apple Scab Leaf,0.8112,0.2327,Monitor,Monitor and retake if symptoms persist,1
