Model,TrueClass,PredictedClass,Confidence,LeafFocusRatio,BackgroundLeakage,Correct
EfficientNet-B0,Apple Scab Leaf,Apple Scab Leaf,0.9975,1.0,0.0,1
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.8429,0.8043,0.1957,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.2176,0.4842,0.5158,0
EfficientNet-B0,Apple Scab Leaf,Tomato Septoria leaf spot,0.948,0.4821,0.5179,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.487,0.9281,0.0719,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf,0.3317,0.9659,0.0341,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.6283,0.8968,0.1032,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.4981,0.8599,0.1401,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.3212,0.8721,0.1279,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.701,0.8442,0.1558,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.5641,0.5941,0.4059,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.4121,0.9329,0.0671,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.9106,0.9681,0.0319,0
EfficientNet-B0,Apple Scab Leaf,Tomato Early blight leaf,0.5717,0.8261,0.1739,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.5667,0.9911,0.0089,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.9543,0.9568,0.0432,0
EfficientNet-B0,Apple Scab Leaf,Corn Gray leaf spot,0.6837,0.9587,0.0413,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.7767,0.9599,0.0401,0
EfficientNet-B0,Apple Scab Leaf,Squash Powdery mildew leaf,0.9807,0.9974,0.0026,0
EfficientNet-B0,Apple Scab Leaf,Bell_pepper leaf spot,0.5096,0.9562,0.0438,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.5285,0.9937,0.0063,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf,0.7116,0.924,0.076,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.931,0.9776,0.0224,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.2786,0.921,0.079,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf early blight,0.9732,0.6839,0.3161,0
EfficientNet-B0,Apple Scab Leaf,Blueberry leaf,0.9923,0.7244,0.2756,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.6403,0.8608,0.1392,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.8769,1.0,0.0,0
