Model,TrueClass,PredictedClass,Confidence,LeafFocusRatio,BackgroundLeakage,Correct
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.5217,1.0,0.0,1
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.2458,0.9004,0.0996,0
MobileNetV2,Apple Scab Leaf,Corn leaf blight,0.8439,0.3835,0.6165,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.7124,0.6122,0.3878,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.3411,0.9262,0.0738,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.5465,0.9557,0.0443,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.5395,0.8588,0.1412,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.6899,0.8267,0.1733,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf spot,0.9001,0.8925,0.1075,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.4856,0.7773,0.2227,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.3757,0.5033,0.4967,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.3065,0.9782,0.0218,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.9664,0.965,0.035,0
MobileNetV2,Apple Scab Leaf,Corn Gray leaf spot,0.2338,0.7395,0.2605,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.2376,0.9776,0.0224,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.3093,0.9715,0.0285,1
MobileNetV2,Apple Scab Leaf,Corn Gray leaf spot,0.4301,0.9636,0.0364,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.3163,0.9756,0.0244,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.4468,0.9999,0.0001,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf spot,0.983,0.9291,0.0709,0
MobileNetV2,Apple Scab Leaf,Cherry leaf,0.2682,0.9856,0.0144,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.4332,0.9376,0.0624,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.8903,0.9652,0.0348,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.5691,0.8987,0.1013,0
MobileNetV2,Apple Scab Leaf,Potato leaf early blight,0.9638,0.5265,0.4735,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf spot,0.7458,0.5727,0.4273,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.6697,0.8258,0.1742,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.4512,1.0,0.0,1
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.4739,0.9846,0.0154,0
MobileNetV2,Apple Scab Leaf,Tomato leaf late blight,0.3029,0.7528,0.2472,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.6267,0.5339,0.4661,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.7209,0.9819,0.0181,0
MobileNetV2,Apple Scab Leaf,Corn rust leaf,0.3411,0.9586,0.0414,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.2473,0.9063,0.0937,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.2635,0.9794,0.0206,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.7431,0.8476,0.1524,0
MobileNetV2,Apple Scab Leaf,Strawberry leaf,0.5481,0.9894,0.0106,0
MobileNetV2,Apple Scab Leaf,Strawberry leaf,0.2914,0.9999,0.0001,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.2526,0.9983,0.0017,1
MobileNetV2,Apple Scab Leaf,Corn rust leaf,0.656,0.5789,0.4211,0
MobileNetV2,Apple Scab Leaf,Corn rust leaf,0.9413,0.6276,0.3724,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.4445,0.9839,0.0161,1
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.5113,0.7412,0.2588,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.6632,0.9969,0.0031,0
MobileNetV2,Apple Scab Leaf,Tomato leaf late blight,0.6103,0.9104,0.0896,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.9744,0.996,0.004,0
MobileNetV2,Apple Scab Leaf,Tomato leaf,0.348,0.8748,0.1252,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.6246,0.8375,0.1625,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.9469,0.9977,0.0023,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.8731,0.999,0.001,1
MobileNetV2,Apple Scab Leaf,Potato leaf early blight,0.8859,0.7125,0.2875,0
MobileNetV2,Apple Scab Leaf,Potato leaf early blight,0.2893,0.9187,0.0813,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.9657,0.5952,0.4048,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.8878,0.9927,0.0073,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.7578,0.9471,0.0529,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.6572,0.9652,0.0348,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.8981,0.9963,0.0037,0
MobileNetV2,Apple Scab Leaf,Apple leaf,0.3842,0.8864,0.1136,0
MobileNetV2,Apple Scab Leaf,Tomato leaf late blight,0.3114,0.823,0.177,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.9747,0.9613,0.0387,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.9132,0.9646,0.0354,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.2813,0.7736,0.2264,0
MobileNetV2,Apple Scab Leaf,Potato leaf early blight,0.8005,0.9055,0.0945,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.5658,0.6397,0.3603,0
MobileNetV2,Apple Scab Leaf,Tomato Septoria leaf spot,0.3409,0.9123,0.0877,0
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.3219,0.7515,0.2485,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.3214,0.9975,0.0025,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.5934,0.6651,0.3349,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf spot,0.1725,0.8109,0.1891,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.4256,0.9524,0.0476,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.2292,0.9986,0.0014,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.936,0.8481,0.1519,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.3257,0.7188,0.2812,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.5507,0.7181,0.2819,0
MobileNetV2,Apple Scab Leaf,Tomato leaf late blight,0.7083,0.8618,0.1382,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.9984,0.9761,0.0239,1
MobileNetV2,Apple Scab Leaf,Blueberry leaf,0.6612,0.889,0.111,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.6193,0.9804,0.0196,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf spot,0.2007,0.9863,0.0137,0
MobileNetV2,Apple Scab Leaf,Cherry leaf,0.253,0.9733,0.0267,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.2841,0.9681,0.0319,0
MobileNetV2,Apple Scab Leaf,grape leaf black rot,0.3852,0.9499,0.0501,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.4813,0.6296,0.3704,1
