Model,TrueClass,PredictedClass,Confidence,LeafFocusRatio,BackgroundLeakage,Correct
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.3796,1.0,0.0,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.9015,0.7383,0.2617,0
ResNet50,Apple Scab Leaf,Corn leaf blight,0.9988,0.447,0.553,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.6513,0.6612,0.3388,0
ResNet50,Apple Scab Leaf,Potato leaf early blight,0.4208,0.9619,0.0381,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.7657,0.9616,0.0384,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.9125,0.894,0.106,0
ResNet50,Apple Scab Leaf,Apple rust leaf,0.862,0.8439,0.1561,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf spot,0.87,0.852,0.148,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.4828,0.8298,0.1702,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.8622,0.297,0.703,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.6146,0.9814,0.0186,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.8451,0.9559,0.0441,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.9252,0.7471,0.2529,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.491,0.9777,0.0223,0
ResNet50,Apple Scab Leaf,Potato leaf early blight,0.5072,0.8903,0.1097,0
ResNet50,Apple Scab Leaf,Corn Gray leaf spot,0.9214,0.9817,0.0183,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.5842,0.9696,0.0304,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf,0.5772,0.9925,0.0075,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf spot,0.9814,0.9284,0.0716,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf,0.9912,0.9867,0.0133,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf,0.9818,0.8746,0.1254,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.5613,0.9672,0.0328,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.2513,0.8623,0.1377,0
ResNet50,Apple Scab Leaf,Potato leaf early blight,0.9915,0.5852,0.4148,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf spot,0.9026,0.5546,0.4454,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.9777,0.7982,0.2018,0
ResNet50,Apple Scab Leaf,Apple Scab Leaf,0.6762,1.0,0.0,1
ResNet50,Apple Scab Leaf,grape leaf black rot,0.6566,0.9871,0.0129,0
ResNet50,Apple Scab Leaf,Corn leaf blight,0.3763,0.8288,0.1712,0
ResNet50,Apple Scab Leaf,Corn rust leaf,0.4967,0.4935,0.5065,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.7541,0.9379,0.0621,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.4108,0.994,0.006,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.9273,0.8448,0.1552,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.4049,0.9827,0.0173,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.9059,0.8099,0.1901,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.6658,0.9588,0.0412,0
ResNet50,Apple Scab Leaf,Apple rust leaf,0.3304,0.9985,0.0015,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.4385,0.9906,0.0094,0
ResNet50,Apple Scab Leaf,Corn rust leaf,0.4398,0.1514,0.8486,0
ResNet50,Apple Scab Leaf,Corn rust leaf,0.8715,0.1281,0.8719,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf,0.351,0.8825,0.1175,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.4895,0.6655,0.3345,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.3002,0.9954,0.0046,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.7324,0.8858,0.1142,0
ResNet50,Apple Scab Leaf,Apple Scab Leaf,0.8121,0.9911,0.0089,1
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.7406,0.8395,0.1605,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.8783,0.8132,0.1868,0
ResNet50,Apple Scab Leaf,Tomato leaf late blight,0.4637,0.9814,0.0186,0
